tube_id,x,y,z,r,theta,dir_x,dir_y,dir_z,region
19550,2471.0,-1341.4,-3296.471111111,2811.6178545456705,-0.4973427163468225,0.0,0.0,1.0,bottom_cap
19549,2471.0,-1200.2,-3296.471111111,2747.056795918133,-0.4521538622857756,0.0,0.0,1.0,bottom_cap
19548,2471.0,-1059.0,-3296.471111111,2688.3679063699597,-0.40489178628508343,0.0,0.0,1.0,bottom_cap
19547,2471.0,-917.8,-3296.471111111,2635.943444006339,-0.35563588430075976,0.0,0.0,1.0,bottom_cap
19546,2471.0,-776.6,-3296.471111111,2590.163809491593,-0.3045108832021125,0.0,0.0,1.0,bottom_cap
19545,2471.0,-635.4,-3296.471111111,2551.3867131424827,-0.25168997175818675,0.0,0.0,1.0,bottom_cap
19544,2471.0,-494.2,-3296.471111111,2519.935443617554,-0.19739555984988075,0.0,0.0,1.0,bottom_cap
19543,2471.0,-353.0,-3296.471111111,2496.0869375885127,-0.14189705460416394,0.0,0.0,1.0,bottom_cap
19542,2471.0,-211.8,-3296.471111111,2480.060531519342,-0.08550529367820464,0.0,0.0,1.0,bottom_cap
19541,2471.0,-70.6,-3296.471111111,2472.0083656816373,-0.02856365783875999,0.0,0.0,1.0,bottom_cap
19540,2471.0,70.6,-3296.471111111,2472.0083656816373,0.02856365783875999,0.0,0.0,1.0,bottom_cap
19539,2471.0,211.8,-3296.471111111,2480.060531519342,0.08550529367820464,0.0,0.0,1.0,bottom_cap
19538,2471.0,353.0,-3296.471111111,2496.0869375885127,0.14189705460416394,0.0,0.0,1.0,bottom_cap
19537,2471.0,494.2,-3296.471111111,2519.935443617554,0.19739555984988075,0.0,0.0,1.0,bottom_cap
19536,2471.0,635.4,-3296.471111111,2551.3867131424827,0.25168997175818675,0.0,0.0,1.0,bottom_cap
19535,2471.0,776.6,-3296.471111111,2590.163809491593,0.3045108832021125,0.0,0.0,1.0,bottom_cap
19534,2471.0,917.8,-3296.471111111,2635.943444006339,0.35563588430075976,0.0,0.0,1.0,bottom_cap
19533,2471.0,1059.0,-3296.471111111,2688.3679063699597,0.40489178628508343,0.0,0.0,1.0,bottom_cap
19532,2471.0,1200.2,-3296.471111111,2747.056795918133,0.4521538622857756,0.0,0.0,1.0,bottom_cap
19531,2471.0,1341.4,-3296.471111111,2811.6178545456705,0.4973427163468225,0.0,0.0,1.0,bottom_cap
19530,2471.0,1482.6,-3296.471111111,2881.6564264325475,0.5404195002705842,0.0,0.0,1.0,bottom_cap
19529,2471.0,1623.8,-3296.471111111,2956.7832927017157,0.5813801838048998,0.0,0.0,1.0,bottom_cap
19528,2471.0,1765.0,-3296.471111111,3036.6208192660474,0.6202494859828215,0.0,0.0,1.0,bottom_cap
19527,2471.0,1906.2,-3296.471111111,3120.8074980684087,0.6570749357116535,0.0,0.0,1.0,bottom_cap
19526,2471.0,2047.4,-3296.471111111,3209.0010532874558,0.6919213822388589,0.0,0.0,1.0,bottom_cap
19525,2400.4,-2118.0,-3296.471111111,3201.225415368309,-0.7229793534014909,0.0,0.0,1.0,bottom_cap
19524,2400.4,-1976.8,-3296.471111111,3109.607435030988,-0.6889243882148613,0.0,0.0,1.0,bottom_cap
19523,2400.4,-1835.6,-3296.471111111,3021.8119597354166,-0.6528466311007742,0.0,0.0,1.0,bottom_cap
19522,2400.4,-1694.4,-3296.471111111,2938.1816689918955,-0.6146629519221655,0.0,0.0,1.0,bottom_cap
19521,2400.4,-1553.2,-3296.471111111,2859.082090461902,-0.5743048301747018,0.0,0.0,1.0,bottom_cap
19520,2400.4,-1412.0,-3296.471111111,2784.899308772222,-0.5317240672588056,0.0,0.0,1.0,bottom_cap
19519,2400.4,-1270.8,-3296.471111111,2716.036229507994,-0.486899231811269,0.0,0.0,1.0,bottom_cap
19518,2400.4,-1129.6,-3296.471111111,2652.907145001498,-0.4398425828157361,0.0,0.0,1.0,bottom_cap
19517,2400.4,-988.4,-3296.471111111,2595.9304150920534,-0.3906070436976868,0.0,0.0,1.0,bottom_cap
19516,2400.4,-847.2,-3296.471111111,2545.5192004775763,-0.3392926144540447,0.0,0.0,1.0,bottom_cap
19515,2400.4,-706.0,-3296.471111111,2502.0703747097123,-0.2860514417173182,0.0,0.0,1.0,bottom_cap
19514,2400.4,-564.8,-3296.471111111,2465.951986556105,-0.23109066719589705,0.0,0.0,1.0,bottom_cap
19513,2400.4,-423.6,-3296.471111111,2437.4899220304483,-0.1746721990082397,0.0,0.0,1.0,bottom_cap
19512,2400.4,-282.4,-3296.471111111,2416.954678929665,-0.11710874456686426,0.0,0.0,1.0,bottom_cap
19511,2400.4,-141.2,-3296.471111111,2404.5493548688078,-0.05875582271572269,0.0,0.0,1.0,bottom_cap
19510,2400.4,-0.0,-3296.471111111,2400.4,-0.0,0.0,0.0,1.0,bottom_cap
19509,2400.4,141.2,-3296.471111111,2404.5493548688078,0.05875582271572269,0.0,0.0,1.0,bottom_cap
